path,description
/BE/BE0701/LivslUtbFland,"""Population"", ""Demographic Analysis (Demography)"", ""Life tables by level of education, region of birth, sex and age. Year 2012 - 2022"""
/BE/BE0701/LivslUtbHushtyp,"""Population"", ""Demographic Analysis (Demography)"", ""Life tables by level of education, type of household, sex and age. Year 2012 - 2022"""
/BE/BE0701/LivslUtbLan,"""Population"", ""Demographic Analysis (Demography)"", ""Life tables by level of education, county, sex and age. Period 2012-2016 - 2018-2022"""
/EN/EN0302/SSDArGasavtal,"""Energy"", ""Gas prices and gas contracts"", ""Change of natural gas supplier. Year 2008 - 2023"""
/EN/EN0302/SSDHalvarGasHus,"""Energy"", ""Gas prices and gas contracts"", ""Prices of natural gas for households. Half-year 2014H2 - 2023H2"""
/EN/EN0302/SSDHalvarGasIckehus,"""Energy"", ""Gas prices and gas contracts"", ""Prices of natural gas for non-household customers. Half-year 2014H2 - 2023H2"""
/FM/FM0402/FinBalAr,"""Financial markets"", ""Financial enterprises, annual financial data"", ""Balance sheet for financial enterprises by kind of  financial institute and item. Year 1996 - 2023"""
/FM/FM0402/FinResAr,"""Financial markets"", ""Financial enterprises, annual financial data"", ""Income statements for financial enterprises by kind of financial institute and item. Year 1996 - 2023"""
/FM/FM0501/FM0501Tab04,"""Financial markets"", ""Swedish insurance companies, capital investments"", ""Investment assets of Swedish insurance companies by kind of asset. Quarter 2007K3 - 2023K4"""
/FM/FM0501/FM0501Tab01,"""Financial markets"", ""Swedish insurance companies, capital investments"", ""Assets of Swedish insurance companies by type of asset. Quarter 2019K1 - 2023K4"""
/FM/FM0501/FM0501Tab07,"""Financial markets"", ""Swedish insurance companies, capital investments"", ""New business of life insurance and occupational pension companies by type of insurance. Quarter 2000K1 - 2023K4"""
/FM/FM0501/FM0501Tab06,"""Financial markets"", ""Swedish insurance companies, capital investments"", ""Premiums and claims paid in non-life insurance companies by insurance class. Quarter 2018K1 - 2023K4"""
/FM/FM0501/FM0501Tab03,"""Financial markets"", ""Swedish insurance companies, capital investments"", ""Some liabilities of the insurance companies by type of liability. Quarter 1999K4 - 2023K4"""
/FM/FM0501/FM0501Tab02,"""Financial markets"", ""Swedish insurance companies, capital investments"", ""Assets of some major insurance companies by company. Quarter 2019K1 - 2023K4"""
/HA/HA0202/HA0202TjanstHKvN,"""Trade in goods and services"", ""Foreign trade - exports and imports of services"", ""Trade in services, SEK millions, exports and imports by item. Quarter 1982K1 - 2023K4"""
/HA/HA0202/HA0202TjanstHArN,"""Trade in goods and services"", ""Foreign trade - exports and imports of services"", ""Trade in services, SEK millions, exports and imports by item. Year 1982 - 2023"""
/HA/HA0202/HA0202TjLandKv,"""Trade in goods and services"", ""Foreign trade - exports and imports of services"", ""Trade in services, SEK millions, exports and imports by country. Quarter 2004K1 - 2023K4"""
/HA/HA0202/HA0202TjLandAr,"""Trade in goods and services"", ""Foreign trade - exports and imports of services"", ""Trade in services, SEK millions, exports and imports by country. Year 2004 - 2023"""
/HA/HA0202/NTHA0202N,"""Trade in goods and services"", ""Foreign trade - exports and imports of services"", ""Key figures for Foreign trade in services 2019K1 - 2023K4"""
/HA/HA0202/HA0202TjHaArN,"""Trade in goods and services"", ""Foreign trade - exports and imports of services"", ""Trade in services, SEK millions, exports and imports by item and country. Year 2013 - 2023"""
