path,description
/AM/AM0503/ArbKraftTillhSAPF,"""Arbetsmarknad"", ""Situationen på arbetsmarknaden för personer med funktionsnedsättning"", ""Personer 16-65 år efter funktionsnedsättning, arbetskraftstillhörighet, kön och redovisningsgrupp. År 2023"""
/AM/AM0503/SyssSektorSAPF,"""Arbetsmarknad"", ""Situationen på arbetsmarknaden för personer med funktionsnedsättning"", ""Sysselsatta personer 16-65 år efter funktionsnedsättning, sektor, kön och redovisningsgrupp. År 2023"""
/AM/AM0503/SyssArbtidSAPF,"""Arbetsmarknad"", ""Situationen på arbetsmarknaden för personer med funktionsnedsättning"", ""Sysselsatta personer 16-65 år efter funktionsnedsättning, veckoarbetstid, kön och redovisningsgrupp. År 2023"""
/AM/AM0503/SyssAnsFtgSAPF,"""Arbetsmarknad"", ""Situationen på arbetsmarknaden för personer med funktionsnedsättning"", ""Sysselsatta personer 16-65 år efter funktionsnedsättning, yrkesställning, kön och redovisningsgrupp. År 2023"""
/AM/AM0503/SyssYrkeSAPF,"""Arbetsmarknad"", ""Situationen på arbetsmarknaden för personer med funktionsnedsättning"", ""Sysselsatta personer 16-65 år efter funktionsnedsättning, yrke (SSYK 2012), kön och redovisningsgrupp År 2023"""
/AM/AM0503/AnsFormSAPF,"""Arbetsmarknad"", ""Situationen på arbetsmarknaden för personer med funktionsnedsättning"", ""Anställda personer 16-65 år efter funktionsnedsättning, anställningsform, kön och redovisningsgrupp. År 2023"""
/AM/AM0503/SyssStodAnpSAPF,"""Arbetsmarknad"", ""Situationen på arbetsmarknaden för personer med funktionsnedsättning"", ""Sysselsatta personer 16-65 år med funktionsnedsättning och nedsatt arbetsförmåga efter stödbehov och tilldelning, stöd- och anpassningsåtgärd, kön och redovisningsgrupp. År 2023"""
/AM/AM0503/IckeSyssStodAnpSAPF,"""Arbetsmarknad"", ""Situationen på arbetsmarknaden för personer med funktionsnedsättning"", ""Ej sysselsatta personer 16-65 år med funktionsnedsättning och nedsatt arbetsförmåga efter stöd- och anpassningsåtgärder samt kön och redovisningsgrupp. År 2023"""
/AM/AM0107/Kyrkokomm1,"""Arbetsmarknad"", ""Löner och sysselsättning inom kyrko-kommunal sektor"", ""Genomsnittlig månadslön inom kyrkokommunal sektor efter yrke SSYK och kön (uppdateras ej).  År 1999"""
/BE/BE0205/FoB7590BostadsH1,"""Befolkning"", ""Tidigare folk- och bostadsräkningar 1960-1990 (FoB)"", ""Bostadshushåll (FoB75-90) efter region, hustyp, hushållsstorlek, lägenhetstyp, byggnadsperiod och trångboddhet 1975 - 1990"""
/BE/BE0205/FoB7590BostadsLgh1,"""Befolkning"", ""Tidigare folk- och bostadsräkningar 1960-1990 (FoB)"", ""Bostadslägenheter (FoB75-90) efter region, hustyp, ägarkategori, byggnadsperiod och upplåtelseform/utnyttjande 1975 - 1990"""
