path,description
/HE/HE0202/HE0202T14,"""Hushållens ekonomi"", ""Hushållens boendeutgifter"", ""Utgifter och utgifters andel av total boendeutgift för äganderätter i småhus efter bostadsarea, hushållstyp och hushållsföreståndarens ålder. År 2015 - 2021"""
/FM/FM0201/FM0201B/HushallAktieAgarMNKR,"""Finansmarknad"", ""Aktieägarstatistik"", ""Hushåll"", ""Hushållens ägande av aktier i bolag noterade på svensk marknadsplats efter kön och ålder.  2 ggr/år 1999M12 - 2023M12"""
/AM/AM0210/AM0210B/SektorSyssKv,"""Arbetsmarknad"", ""Befolkningens arbetsmarknadsstatus (BAS)"", ""Sysselsatta – preliminär statistik baserad på månatliga uppgifter"", ""Sysselsatta 15-74 år efter region, sektor, kön,  ålder och födelseregion. Preliminär statistik. Kvartal 2020K1 - 2023K4"""
/ME/ME0201/ME0201I/EUsympati13Old,"""Demokrati"", ""Partisympatiundersökningen (PSU)"", ""Oviktade tabeller över EU-sympati t.o.m. nov 2010"", ""EU-sympati (PSU) efter utbildningsnivå och kön. (Urvalsundersökning, se fotnoter.)  Mätmånad 2003M05 - 2010M11"""
/HA/HA0104/HA0104B/TjPI2005kedjAr07,"""Handel med varor och tjänster"", ""Tjänsteproduktionsindex"", ""Äldre tabeller, uppdateras ej (SNI 2007)"", ""Tjänsteproduktionsindex (TjPI), 2010=100, efter näringsgren SNI 2007. År 2000 - 2016"""
/NV/NV0124/NV0124X/IndInvFastSni69Ar,"""Näringsverksamhet"", ""Ekonomisk statistik på kvartal"", ""Äldre tabeller, uppdateras ej"", ""Investeringar i 1985 års priser efter investeringsobjekt och näringsgren SNI69. År 1980 - 1993"""
/NV/NV0124/NV0124X/InvArFP,"""Näringsverksamhet"", ""Ekonomisk statistik på kvartal"", ""Äldre tabeller, uppdateras ej"", ""Verkställda investeringar, helår, efter näringsgren SNI 2007 och investeringsobjekt. 2008 års prisnivå. År 2008 - 2018"""
/BE/BE0401/BE0401B/BefProgFoddaMedel18,"""Befolkning"", ""Befolkningsframskrivningar"", ""Äldre framskrivningar"", ""Framskrivning 2018 antal födda efter moderns födelselandgrupp och ålder. Prognosår 2018 - 2120"""
/OE/OE0701/DebSkatterA,"""Offentlig ekonomi"", ""Taxeringsutfallet"", ""Debiterade inkomst-, förmögenhets- och fastighetsskatter samt allmänna egenavgifter, fysiska personer, efter region. Taxeringsår/deklarationsår 1992 - 2021"""
/BO/BO0601/BO0601C/AntTaxvArealSma,"""Boende, byggande och bebyggelse"", ""Fastighetstaxeringar"", ""Allmän/förenklad fastighetstaxering för småhus"", ""Taxeringsenheter (typkod 200 - 299), totalt taxeringsvärde och areal efter region, typkod och ägarkategori. År 2003 - 2021"""
/FM/FM0201/FM0201C/AktieAgarUtlandN,"""Finansmarknad"", ""Aktieägarstatistik"", ""Utlandet"", ""Utländska ägare av aktier i noterade bolag på svensk marknadsplats grupperade efter landsgrupp och land. 2ggr/år 1999M12 - 2023M12"""
/JO/JO1901/JO1901F/Kap2o5T03,"""Jord- och skogsbruk, fiske"", ""Allmän jordbruksstatistik"", ""Historisk statistik, trädgårdsodling"", ""Antal företag med frilandsodling efter produktionsinriktning, riket. År 1971 - 2008"""
/AM/AM0403/AM0403M/NAKUEjiarbkrOnsKTD,"""Arbetsmarknad"", ""Arbetskraftsundersökningarna, tidigare definitioner"", ""Personer ej i arbetskraften 2005-2020"", ""Ej i arbetskraften, antal personer 15-74 år (AKU) efter önskemål/möjligheter till förvärvsarbete samt efter kön och ålder, tidigare definitioner. Kvartal 2005K2 - 2020K4"""
/EN/EN0301/EN0301B/SSDManadElOmforhand,"""Energi"", ""Elpriser och elavtal"", ""Äldre tabeller, uppdateras ej"", ""Omförhandlade elavtal efter elområde och kundkategori. Månad 2013M04 - 2023M12"""
/HE/HE0202/HE0202T08,"""Hushållens ekonomi"", ""Hushållens boendeutgifter"", ""Boendeutgiftsprocent, disponibel inkomst och konsumtionsutrymme per hushåll efter upplåtelseform och hushållsföreståndarens ålder. År 2015 - 2021"""
/OE/OE0107/OE0107G/VerksKoep,"""Offentlig ekonomi"", ""Räkenskapssammandrag för kommuner och regioner"", ""Äldre tabeller som inte uppdateras"", ""Kommunens köp av verksamhet som andel av kommunens kostnad för verksamheten efter region och verksamhetsområde. År 1998 - 2013"""
/AM/AM0110/AM0110A/LonYrkeAlder4,"""Arbetsmarknad"", ""Lönestrukturstatistik, hela ekonomin"", ""Lön efter yrke (4-siffrig SSYK)"", ""Genomsnittlig grund- och månadslön samt kvinnors lön i procent av mäns lön efter sektor, yrke (SSYK), kön och ålder. År 2005 - 2013"""
/AM/AM0106/AM0106A/Kommun4g12,"""Arbetsmarknad"", ""Lönestrukturstatistik, kommuner"", ""Löner"", ""Genomsnittlig månadslön och grundlön inom kommuner efter regional indelning (NUTS2), yrke SSYK 2012 och kön.  År 2014 - 2023"""
/ME/ME0201/ME0201G/EMUsympati04,"""Demokrati"", ""Partisympatiundersökningen (PSU)"", ""EMU-sympati i befolkningsgrupper (nov-97 – maj-03)"", ""EMU-sympati (PSU) efter bostadstyp och kön. (Urvalsundersökning, se fotnoter.)  Mätmånad 1997M11 - 2003M05"""
/BO/BO0301/BO0301A/IKUIoKRegNB,"""Boende, byggande och bebyggelse"", ""Intäkts- och kostnadsundersökning för flerbostadshus (IKU)"", ""Intäkts- och kostnadsundersökning för flerbostadshus (IKU)"", ""Intäkter och kostnader för flerbostadshus (IKU), bostadsrättsföreningar efter region, lägenhetsantal och intäkts-/kostnadsslag. (Urvalsundersökning, se fotnoter). År 2003 - 2015"""
