id,text,type
AA,General statistics,l
AM,Labour market,l
BE,Population,l
BO,"Housing, construction and building",l
EN,Energy,l
FM,Financial markets,l
HA,Trade in goods and services,l
HE,Household finances,l
JO,"Agriculture, forestry and fishery",l
LE,Living conditions,l
ME,Democracy,l
MI,Environment,l
NR,National accounts,l
NV,Business activities,l
OE,Public finances,l
PR,Prices and Consumption,l
TK,Transport and communications,l
UF,Education and research,l
AA0003,Integration statistics based on administrative sources,l
AM0101,"Short-term statistics, wages and salaries in the private sector",l
AM0102,Short-term statistics; salaries in the governmental sector,l
AM0103,Wage and salary structures in the private sector,l
AM0104,Wage and salary structures and employment in the central government sector,l
AM0105,Wage and salary structures and employment in regions,l
AM0106,Wage and salary structures and employment in the municipalities,l
AM0108,"Short-term statistics, salaries in the municipalities",l
AM0109,"Short-term statistics, salaries in the regional authorities",l
AM0110,"Salary structures, whole economy",l
AM0114,Labour cost index,l
AM0201,Short-term employment,l
AM0206,"Aggregate gross pay, payroll taxes and prel. tax statistics from employers monthly tax returns",l
AM0207,Labour statistics based on administrative sources,l
AM0208,The Swedish Occupational Register,l
AM0209,Short term business statistics on sick pay,l
AM0210,Population by Labour market status,l
AM0301,Labour cost index for wage-earners and salaried employees in the private sector (AKI),l
AM0302,Gross pay based on income of statements,l
AM0401,Labour Force Surveys (LFS),l
AM0403,"Labour Force Surveys, previous definitions",l
AM0701,Job openings and unmet labour demand,l
BE0001,Name statistics,l
BE0401,Population projections,l
BE0701,Demographic Analysis (Demography),l
BE0101,Population statistics,l
BO0101,"Statistics on building permits, new construction and conversion",l
BO0104,Dwelling stock,l
BO0201,Prices for newly produced dwellings,l
BO0301,Revenues and expenditure survey for multi-dwelling,l
BO0303,Unlet dwellings in multi-dwelling buildings,l
BO0404,Charges/rents for newly constructed dwellings,l
BO0406,Rents for dwellings,l
BO0501,Real estate prices and registrations of title,l
BO0601,Real estate tax assessments,l
EN0105,"Annual energy statistics (electricity, gas, district heating)",l
EN0108,"Monthly electricity statistics, including switches of electricity supplier",l
EN0301,Electricity prices and electricity contracts,l
EN0302,Gas prices and gas contracts,l
FM0001,Balance of Payments,l
FM0103,"Financial accounts, quarterly and annual",l
FM0105,Savings barometer,l
FM0201,Shareholders statistics,l
FM0401,"Financial institutions, assets and liabilities",l
FM0402,"Financial enterprises, annual financial data",l
FM0403,"Investment funds, assets and liabilities",l
FM0501,"Swedish insurance companies, capital investments",l
FM5001,Financial Market Statistics,l
FM9998,Securities issues,l
HA0101,Turnover in the service sector,l
HA0103,Food sales,l
HA0104,Index of Service Production,l
HA0201,Foreign trade - exports and imports of goods,l
HA0202,Foreign trade - exports and imports of services,l
HE0110,Income and tax statistics,l
HE0111,Households´ Housing,l
HE0201,Household budget survey (HBS),l
HE0202,Housing Costs,l
JO0106,Holdings and holders in agriculture,l
JO0103,Farm animals,l
JO0104,Use of agricultural land,l
JO0601,"Production of cereals, dried pulses and oilseeds",l
LE0101,Statistics on Income and Living Conditions,l
LE0102,Children and their Families,l
LE0105,Integration – analysis,l
LE0106,Living Conditions Survey of Children,l
LE0108,ICT usage in households and by individuals,l
ME0002,Survey of local democracy in municipalities and county councils,l
ME0104,"General elections, results",l
ME0105,"General elections, participation survey",l
ME0107,"General elections, nominated and elected candidates",l
ME0109,"European Parliament election, results",l
